Vitesse,Debit,Flux,Courant
Surcharge,Saturation,Rupture,Seuil
Stable,Instable,Critique,Equilibre
Calcul,Mesure,Incertitude,Erreur
Precision,Justesse,Fidelite,Resolution
Systeme,Environnement,Frontiere,Univers
Ouvert,Ferme,Isole,Adiabatique
Interne,Cinetique,Potentielle,Totale
Chaleur,Travail,Energie,Enthalpie
Reversible,Irreversible,Quasistatique,Brutal
Vapeur,Brouillard,Nuage,Fumee
Ebullition,Evaporation,Calefaction,Echaudage
Anion,Cation,Radical,Complexe
Doublet,Lacune,Liaison,Octet
Sigma,Pi,Delta,Phi
Hybride,Pur,Atomique,Moleculaire
Saturé,Insaturé,Concentré,Dilué
Miscible,Soluble,Volatile,Stable
Filtration,Decantation,Distillation,Extraction
Reflux,Chauffage,Montage,Synthese
Rendement,Purete,Selectivite,Activite
Proton,Neutron,Quark,Electron
